Cod_Prod	Nom_Prod	Concent	Nom_Form_Farm	Presentac	Fracción	Num_RegSan	Nom_Titular	Nom_Fabricante	Nom_IFA	Nom_Rubro	Situación
54702	AASCARD	100 mg	Tableta Recubierta	Caja Envase Blíster Tableta Recubierta	100	EN08708	DOCTOR ANDREU Q.F.S.A.	LABORATORIOS PORTUGAL S.R.L.	ACIDO ACETILSALICILICO	ESPECIALIDAD FARMACEUTICA	ACT
48938	AB BRONCOL NF 1200	1000 mg + 200 mg	Polvo para Suspensión Inyectable	Caja Vial + Ampolla solvente x 5 mL	1	EN07674	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
42814	AB BRONCOL NF 1200	1000 mg + 200 mg	Polvo para Suspensión Inyectable	Caja Vial + Solvente x 5 mL	1	N25382	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO	MEDICAMENTO DE MARCA	ACT
48889	AB BRONCOL NF 300	250 mg + 50 mg	Polvo para Suspensión Inyectable	Caja Vial + Ampolla Solvente x 3 mL	1	EN07639	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA + GOMENOL + LIDOCAINA CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
48917	AB BRONCOL NF 600	600 mg	Polvo para Suspensión Inyectable	Caja Vial + Ampolla Solvente x 5 mL	2	EN07660	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
42813	AB BRONCOL NF 600		Polvo para Suspensión Inyectable	Caja Vial + Solvente x 5 mL	1	N25384	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO	MEDICAMENTO DE MARCA	ACT
52485	AB BRONCOL NF 600	600 mg	Polvo para Suspensión Inyectable	Caja Vial + Ampolla Solvente x 5 mL	1	EN07660	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA + LIDOCAINA CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
59579	AB MOXIL 250	250 mg/ 5mL	Polvo para Suspensión Oral	Caja Frasco x 60 mL + Accesorio	1	EN09727	CORPORACION D´OLAPHARM S.A.C.	LABORATORIOS PORTUGAL S.R.L.	AMOXICILINA TRIHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
44788	ABACAVIR	300 mg	Tableta Recubierta	Caja Frasco Tabletas Recubiertas	60	EE01528	SEVEN PHARMA S.A.C.	HETERO LABS LIMITED	ABACAVIR SULFATO	ESPECIALIDAD FARMACEUTICA	ACT
47940	ABACAVIR	300 mg	Tableta Recubierta	Caja Envase Blister Tabletas Recubierta	500	EN00787	LABORATORIOS AC FARMA S.A.	LABORATORIOS AC FARMA S.A.	ABACAVIR SULFATO	ESPECIALIDAD FARMACEUTICA	ACT
37869	ABACAVIR	300 mg	Tableta Recubierta	Caja Frasco Tabletas	60	EE01528	EXCELLAN PERU S.A.C.	HETERO LABS LIMITED	ABACAVIR SULFATO	ESPECIALIDAD FARMACEUTICA	ACT
53608	ABACAVIR SULFATO	300 mg	Tableta	Caja Frasco x 60 tabletas	1	EE01414	PHARMARIS PERU S.A.C.	MYLAN LABORATORIES LIMITED - INDIA	ABACAVIR SULFATO	ESPECIALIDAD FARMACEUTICA	ACT
53609	ABACAVIR SULFATO Y LAMIVUDINA	600 mg + 300 mg	Tableta Recubierta	Caja Frasco x 30 Tabletas Recubiertas	1	EE02451	PHARMARIS PERU S.A.C.	MYLAN LABORATORIES LIMITED - INDIA	ABACAVIR SULFATO + LAMIVUDINA	ESPECIALIDAD FARMACEUTICA	ACT
48350	ABACAVIR SULFATO Y LAMIVUDINA	600 mg + 300 mg	Tableta Recubierta	Caja Frasco Tableta Recubierta	30	EE02451	PHARMARIS PERU S.A.C.	MYLAN LABORATORIES LIMITED - INDIA	ABACAVIR SULFATO + LAMIVUDINA	ESPECIALIDAD FARMACEUTICA	ACT
59064	ABATIXENT	5 mg	Tableta Recubierta	Caja Envase Blíster Tableta Recubierta	30	EE11326	H REPS S.A.C.	SANDOZ PRIVATE LIMITED	APIXABAN	ESPECIALIDAD FARMACEUTICA	ACT
59065	ABATIXENT	2.5 mg	Tableta Recubierta	Caja Envase Blíster Tableta Recubierta	60	EE11327	H REPS S.A.C.	SANDOZ PRIVATE LIMITED	APIXABAN	ESPECIALIDAD FARMACEUTICA	ACT
59307	ABATIXENT	5 mg	Tableta Recubierta	Caja Envase Blíster Tableta Recubierta	60	EE11326	H REPS S.A.C.	SANDOZ PRIVATE LIMITED	APIXABAN	ESPECIALIDAD FARMACEUTICA	ACT
58284	AB-BRONCOL 1000 NF	1000 mg	Polvo y Disolvente para Suspensión Inyectable	Caja Vial + Ampolla solvente x 5 mL	1	EN07674	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA	ESPECIALIDAD FARMACEUTICA	ACT
59358	AB-BRONCOL 250 NF	250 mg	Polvo y Disolvente para Suspensión Inyectable	Caja Vial + Ampolla Solvente x 3 mL	1	EN07639	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA	ESPECIALIDAD FARMACEUTICA	ACT
59359	AB-BRONCOL 500 NF	500 mg	Polvo y Disolvente para Suspensión Inyectable	Caja Vial + Ampolla solvente x 4 mL	1	EN07660	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA	ESPECIALIDAD FARMACEUTICA	ACT
57689	AB-BRONCOL NF 1200	1200 mg	Solución Inyectable	Caja Vial + Ampolla solvente x 5 mL	1	EN07674	MEDIFARMA S.A.	MEDIFARMA S.A.	AMPICILINA BENZATINICA + AMPICILINA SODICA	ESPECIALIDAD FARMACEUTICA	ACT
58195	ABEVMY 100	100 mg/ 4 mL	Concentrado para Solución para Perfusión	Caja vial x 4 mL	1	BE01262	PHARMARIS PERU S.A.C.	BIOCON BIOLOGICS INDIA LIMITED	BEVACIZUMAB	PRODUCTO DE ORIGEN BIOLOGICO	ACT
58196	ABEVMY®400	400 mg/ 16 mL	Concentrado para Solución para Perfusión	Caja Vial x 16 mL	1	BE01261	PHARMARIS PERU S.A.C.	BIOCON BIOLOGICS INDIA LIMITED	BEVACIZUMAB	PRODUCTO DE ORIGEN BIOLOGICO	ACT
48642	ABFLEXIL	7.5 mg + 0.005 mg/ 5 mL	Jarabe	Caja Frasco x 120 mL + accesorio	1	EN06886	DROGUERIA TOBAL S.A.C.	CIFARMA S.A.C. - LIMA - PERÚ	AMBROXOL CLORHIDRATO + CLENBUTEROL CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
58285	ABFLEXIL COMPOSITUM	7.5 mg + 0.005 mg	Jarabe	Caja Frasco x 120 mL + Accesorio	1	EN06886	DROGUERIA TOBAL S.A.C.	CIFARMA S.A.C. - LIMA - PERÚ	AMBROXOL CLORHIDRATO + CLENBUTEROL CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
50445	ABIPRO	250 mg	Tableta	Caja Frasco Tableta	120	EE07755	SUN PHARMACEUTICAL INDUSTRIES S.A.C.	SUN PHARMACEUTICAL INDUSTRIES LIMITED	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
54286	ABIRAGLOB 250	250 mg	Tableta	Caja Frasco x 120 Tabletas	1	EE10395	WORLD DRUG PHARMACEUTICAL S.A.C.	GLOBELA PHARMA PVT. LTD.	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
57387	ABIRAPROST	250 mg	Tableta	Caja Frasco x 30 Tabletas	1	EE12010	DS PHARMA PERU S.A.C.	KWALITY PHARMACEUTICALS PVT. LTD	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
42329	ABIRATERONA	250 mg	Comprimido	Caja Frasco Comprimidos	120	EE04775	PERULAB S.A.	LABORATORIO KEMEX  S.A.	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
56363	ABIRATRAL	250 mg	Comprimido	Caja Envase Blíster Comprimidos	120	EE09552	MEGA LABS LATAM S.A.	BRIA PHARMA S.A.	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
46742	ABIRAVITAE	250 mg	Comprimido	Caja Frasco x 120 Comprimidos	1	EE05688	GALENICUM VITAE PERU S.A.C.	ATLAS PHARM, S.A. - MARRUECOS	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
48597	ABLNIVELAN	2 mg	Comprimido Recubierto	Caja Envase Blíster Comprimido Recubierto	20	EE02527	GRUNENTHAL PERUANA S.A.	LABORATORIOS ANDROMACO S.A.	RISPERIDONA	ESPECIALIDAD FARMACEUTICA	ACT
48598	ABLNIVELAN	1 mg	Comprimido Recubierto	Caja Envase Blister Comprimidos Recubiertos	20	EE02590	GRUNENTHAL PERUANA S.A.	LABORATORIOS ANDROMACO S.A.	RISPERIDONA	ESPECIALIDAD FARMACEUTICA	ACT
51392	ABLNIVELAN	1 mg/ mL	Solución Oral	Caja Frasco Gotero x 30 mL	1	EE08057	GRUNENTHAL PERUANA S.A.	TECNANDINA S.A.	RISPERIDONA	ESPECIALIDAD FARMACEUTICA	ACT
53721	ABRAXANE	100 mg	Polvo Para Suspensión Para Perfusión	Caja Vial	1	EE01892	BRISTOL-MYERS SQUIBB PERU S.A.	ABRAXIS BIOSCIENCE LLC - ESTADOS UNIDOS DE AMERICA	PACLITAXEL	ESPECIALIDAD FARMACEUTICA	ACT
37337	ABRAXANE	100 mg	Polvo Para Suspensión Para Perfusión	Caja  Vial	1	EE01892	TECNOFARMA S.A.	ABRAXIS BIOSCIENCE LLC - ESTADOS UNIDOS DE AMERICA	PACLITAXEL	ESPECIALIDAD FARMACEUTICA	ACT
60462	ABRITIGA 250	250 mg	Tableta Recubierta	Caja Frasco x 120 Tabletas Recubiertas	1	EE13586	CSP LIFESCIENCES PERU S.A.C.	ZEE LABORATORIES LTD.	ACETATO DE ABIRATERONA	ESPECIALIDAD FARMACEUTICA	ACT
59315	ABRYSVO®		POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Caja Vial + Jeringa Precargada + Accesorio	1	BE01424	PFIZER S.A.	PFIZER MANUFACTURING BELGIUM N.V.	ANTIGENO F ESTABILIZADO EN PREFUSION DEL SUBGRUPO B DEL VIRUS RESPIRATORIO SINCITIAL (VRS) + ANTIGENO F ESTABILIZADO EN PREFUSION DEL SUBGRUPO A DEL VIRUS RESPIRATORIO SINCITIAL (VRS)	PRODUCTO DE ORIGEN BIOLOGICO	ACT
55309	ABUBRON BR	250 mg/ 5 mL + 4 mg/ 5 mL	Polvo para Suspensión Oral	Caja Frasco x 60 mL	1	EN08845	REPRESENTACIONES CASTILLO SOCIEDAD ANONIMA	LABORATORIOS PORTUGAL S.R.L.	AMOXICILINA TRIHIDRATO + BROMHEXINA CLORHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
54467	ABUBRON BR	500 mg + 8 mg	Cápsula	Caja Envase Blíster Cápsulas	100	EN08774	REPRESENTACIONES CASTILLO SOCIEDAD ANONIMA	LABORATORIOS PORTUGAL S.R.L.	AMOXICILINA TRIHIDRATO	ESPECIALIDAD FARMACEUTICA	ACT
50044	ABUFENE	500 mg	Tableta Recubierta	Caja Envase Blister Tabletas Recubiertas	100	EN02685	DROGUERIA E.S.C. PHARMED CORPORATION S.A.C.	DROGUERIA E.S.C. PHARMED CORPORATION S.A.C.	PARACETAMOL	ESPECIALIDAD FARMACEUTICA	ACT
53817	ABXEDA	100 mg/ 4 mL	Concentrado para Solución para Perfusión	Caja Vial x 4 mL	1	BE01222	FARMINDUSTRIA S.A.	FARMINDUSTRIA S.A.	BEVACIZUMAB	PRODUCTO DE ORIGEN BIOLOGICO	ACT
54104	ABXEDA	400 mg/ 16 mL	Concentrado para Solución para Perfusión	Caja Vial x 16 mL	1	BE01225	FARMINDUSTRIA S.A.	UNIVERSAL FARMA, S.L.	BEVACIZUMAB	PRODUCTO DE ORIGEN BIOLOGICO	ACT
53146	ACARIL	10 g + 10 g	Crema	Caja Tubo x 42 g	1	EN07130	MEDIFARMA S.A.	MEDIFARMA S.A.	AZUFRE + BENZOATO DE BENCILO	ESPECIALIDAD FARMACEUTICA	ACT
48376	ACARIL	10 g + 10 g	Crema	Tubo x 42 g	1	EN07130	MEDIFARMA S.A.	MEDIFARMA S.A.	AZUFRE + BENZOATO DE BENCILO	ESPECIALIDAD FARMACEUTICA	ACT
41859	ACARIL S	30 %	Loción	Caja Frasco x 60 mL	1	EN03404	MEDIFARMA S.A.	MEDIFARMA S.A.	BENZOATO DE BENCILO	ESPECIALIDAD FARMACEUTICA	ACT
58724	ACARIL S NF	25 %	Loción	Caja Frasco x 60 mL	1	EN03404	MEDIFARMA S.A.	MEDIFARMA S.A.	BENZOATO DE BENCILO	ESPECIALIDAD FARMACEUTICA	ACT
53201	ACCOPRIL 20	20 mg	Tableta	Caja Envase Blíster Tableta	100	EE08901	ACCORD HEALTHCARE S.A.C.	INTAS PHARMACEUTICALS LIMITED	ENALAPRIL MALEATO	ESPECIALIDAD FARMACEUTICA	ACT
44707	ACECNOU 3G	3 g	Granulos para Solución Oral	Caja Sobre x 8 g	1	EE03710	FAES FARMA PERU S.A.C.	LABIANA PHARMACEUTICALS S.L.U.	FOSFOMICINA TROMETAMOL	ESPECIALIDAD FARMACEUTICA	ACT
43892	ACELIN	325 mg + 10 mg + 4 mg	Comprimido	Caja Envase Blister Comprimidos	100	EE04931	DROGUERIAS UNIDAS DEL PERU SOCIEDAD ANONIMA CERRADA	INDUFAR C.I.S.A.	CLORFENAMINA MALEATO + FENILEFRINA CLORHIDRATO + PARACETAMOL	ESPECIALIDAD FARMACEUTICA	ACT
30183	ACEMUK	2 g/ 100 mL	Granulos para Suspensión Oral	Frasco X 100 mL	1	E22661	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	MEDICAMENTO DE MARCA	ACT
30179	ACEMUK 200	200 mg	Comprimido Efervescente	Caja Envase Blíster Comprimidos	10	E22439	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	MEDICAMENTO DE MARCA	ACT
30180	ACEMUK 200	200 mg	Comprimido Efervescente	Caja Envase Blíster Comprimidos	20	E22439	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	MEDICAMENTO DE MARCA	ACT
40503	ACEMUK 200	200 mg	Comprimido Efervescente	Caja Tubo Comprimidos 	10	EE02739	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
40502	ACEMUK 600	600 mg	Comprimido Efervescente	Caja Tubo Comprimidos 	10	EE02740	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
30181	ACEMUK 600	600 mg	Comprimido Efervescente	Caja Envase Blíster Comprimidos	10	E22440	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	MEDICAMENTO DE MARCA	ACT
30182	ACEMUK 600	600 mg	Comprimido Efervescente	Caja Envase Blíster Comprimidos	20	E22440	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	MEDICAMENTO DE MARCA	ACT
44734	ACEMUK 600	600 mg	Comprimido Efervescente	Caja Envase Folio Comprimidos Efervescente	20	EE02740	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
46604	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido de Disolución Bucal	Caja Envase Blíster Comprimidos de Disolución Bucal	4	EE04487	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA	ESPECIALIDAD FARMACEUTICA	ACT
30198	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido de Disolución Bucal	Caja Envase Blíster Comprimidos	20	E22584	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	CLORFENAMINA MALEATO + FENILEFRINA CLORHIDRATO + PARACETAMOL	MEDICAMENTO DE MARCA	ACT
35302	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido de Disolución Bucal	Caja Envase Blíster Comprimidos	100	E22584	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	CLORFENAMINA MALEATO + FENILEFRINA CLORHIDRATO + PARACETAMOL	MEDICAMENTO DE MARCA	ACT
35303	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido de Disolución Bucal	Caja Envase Blíster Comprimidos	4	E22584	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	CLORFENAMINA MALEATO + FENILEFRINA CLORHIDRATO + PARACETAMOL	MEDICAMENTO DE MARCA	ACT
54455	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido de Disolución Bucal	Caja Envase Blíster Comprimidos	20	EE04487	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA	ESPECIALIDAD FARMACEUTICA	ACT
57352	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido Para Chupar	Caja Envase Blíster Comprimido Para Chupar	4	EE04487	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA	ESPECIALIDAD FARMACEUTICA	ACT
57353	ACEMUK L	100 mg + 8 mg + 1 mg	Comprimido Para Chupar	Caja Envase Blíster Comprimido Para Chupar	20	EE04487	LABORATORIOS SIEGFRIED S.A.C.	ROEMMERS S.A.I.C.F - ARGENTINA	ACETILCISTEINA + LIDOCAINA CLORHIDRATO + TIROTRICINA	ESPECIALIDAD FARMACEUTICA	ACT
35588	ACETAK	250 mg	Tableta	Caja Envase Blister Tabletas	20	EN01577	MEDIFARMA S.A.	MEDIFARMA S.A.	ACETAZOLAMIDA	ESPECIALIDAD FARMACEUTICA	ACT
35589	ACETAK	250 mg	Tableta	Caja Envase Blister Tabletas	100	EN01577	MEDIFARMA S.A.	MEDIFARMA S.A.	ACETAZOLAMIDA	ESPECIALIDAD FARMACEUTICA	ACT
48595	ACETALITO	120 mg/ 5 mL	Jarabe	Caja Frasco x 120 mL	1	EN05710	LABORATORIOS QUILLA PHARMA PERU S.A.C.	LABORATORIOS PORTUGAL S.R.L.	PARACETAMOL	ESPECIALIDAD FARMACEUTICA	ACT
59329	ACETALITO	120 mg/ 5 mL	Solución Oral	Caja Frasco x 120 mL	1	EN05710	LABORATORIOS QUILLA PHARMA PERU S.A.C.	LABORATORIOS PORTUGAL S.R.L.	PARACETAMOL	ESPECIALIDAD FARMACEUTICA	ACT
53763	ACETATO DE MEDROXIPROGESTERONA	150 mg/ mL	Suspensión Inyectable	Caja Vial x 1 mL	1	EE09534	AGRIPINO SARMIENTO CCOSCCO	CAPLIN POINT LABORATORIES LIMITED	MEDROXIPROGESTERONA ACETATO	ESPECIALIDAD FARMACEUTICA	ACT
60205	ACETATO DE MEDROXIPROGESTERONA	150 mg/ mL	Suspensión Inyectable	Caja Vial x 1 mL	1	EE14504	OQCORP SOCIEDAD ANONIMA CERRADA - OQCORP S.A.C.	SHREE VENKATESH INTERNATIONAL LTD	MEDROXIPROGESTERONA ACETATO	ESPECIALIDAD FARMACEUTICA	ACT
49229	ACETAZOLAMIDA	250 mg	Tableta	Caja Envase Blister Tableta	10	EN00308	LABORATORIOS AC FARMA S.A.	LABORATORIOS AC FARMA S.A.	ACETAZOLAMIDA	ESPECIALIDAD FARMACEUTICA	ACT
35624	ACETAZOLAMIDA	250 mg	Tableta	Caja Envase Blister Tabletas	100	EN00308	LABORATORIOS AC FARMA S.A.	LABORATORIOS AC FARMA S.A.	ACETAZOLAMIDA	ESPECIALIDAD FARMACEUTICA	ACT
40993	ACETAZOLAMIDA	250 mg	Tableta	Caja Envase Blister Tabletas	30	EN05055	FARMINDUSTRIA S.A.	FARMINDUSTRIA S.A.	ACETAZOLAMIDA	ESPECIALIDAD FARMACEUTICA	ACT
49130	ACETILCISTEINA	600 mg	Granulos para Solución Oral	Caja Sobre x 2 g	50	EN07233	VITA PHARMA S.A.C.	VITA PHARMA SOCIEDAD ANONIMA CERRADA - VITA PHARMA S.A.C.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
47872	ACETILCISTEINA	200 mg	Granulos para Solución Oral	Caja Sobre x 3 g	30	EE07314	SANOFI - AVENTIS DEL PERU S.A.	SANOFI - AVENTIS DE COLOMBIA S.A.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
49991	ACETILCISTEINA	200 mg	Granulos para Solución Oral	Caja Envase Sobres x 2 g	50	EN06746	VITA PHARMA S.A.C.	VITA PHARMA SOCIEDAD ANONIMA CERRADA - VITA PHARMA S.A.C.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
50433	ACETILCISTEINA	200 mg	Granulos para Solución Oral	Caja Envase Sobre x 2 g 	1	EN06746	VITA PHARMA S.A.C.	VITA PHARMA SOCIEDAD ANONIMA CERRADA - VITA PHARMA S.A.C.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
51653	ACETILCISTEINA	200 mg	Granulos para Solución Oral	Caja Sobre x 3 g	1	EE07314	SANOFI - AVENTIS DEL PERU S.A.	SANOFI - AVENTIS DE COLOMBIA S.A.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
54697	ACETILCISTEINA	600 mg	Polvo para Solución Oral	Caja Sobre x 2.5 g	10	EN08709	PERUFARMA S.A.	CIFARMA S.A.C. - LIMA - PERÚ	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
59087	ACETILCISTEINA	200 mg	Polvo para Solución Oral	Caja Sobre x 1 g	30	EE13634	GRUPO KMEDIC E.I.R.L.	VITAEGISS WELLNESS PRIVATE LIMITED	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
59088	ACETILCISTEINA	200 mg	Polvo para Solución Oral	Caja Sobre x 1 g	50	EE13634	GRUPO KMEDIC E.I.R.L.	VITAEGISS WELLNESS PRIVATE LIMITED	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
59089	ACETILCISTEINA	200 mg	Polvo para Solución Oral	Caja Sobre x 1 g	100	EE13634	GRUPO KMEDIC E.I.R.L.	VITAEGISS WELLNESS PRIVATE LIMITED	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
56786	ACETILCISTEINA	300 mg/ 3 mL	Solución Inyectable	Caja Ampollas x 3 mL	10	EE10521	AGRIPINO SARMIENTO CCOSCCO	CAPLIN POINT LABORATORIES LIMITED	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
56412	ACETILCISTEINA	200 mg	Granulos para Solución Oral	Caja Sobre x 3 g	1	EE07314	GENFAR DEL PERU S.A.C.	SANOFI - AVENTIS DE COLOMBIA S.A.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
56475	ACETILCISTEINA	600 mg	Granulos para Solución Oral	Caja Sobre x 3 g	50	EN09138	LABORATORIOS AC FARMA S.A.	LABORATORIOS AC FARMA S.A.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
55771	ACETILCISTEINA	200 mg	Granulos para Solución Oral	Caja Sobre x 3 g	30	EE07314	GENFAR DEL PERU S.A.C.	SANOFI - AVENTIS DE COLOMBIA S.A.	ACETILCISTEINA	ESPECIALIDAD FARMACEUTICA	ACT
